time,year,value,gender,age_group,time_unit
31,2016,389,females,,weekly
31,2017,463,females,,weekly
31,2018,428,females,,weekly
31,2019,477,females,,weekly
31,2020,571,females,,weekly
31,2021,516,females,,weekly
32,2015,419,females,,weekly
32,2016,468,females,,weekly
32,2017,429,females,,weekly
32,2018,404,females,,weekly
32,2019,472,females,,weekly
32,2020,558,females,,weekly
32,2021,545,females,,weekly
33,2015,405,females,,weekly
33,2016,431,females,,weekly
33,2017,429,females,,weekly
33,2018,420,females,,weekly
33,2019,476,females,,weekly
33,2020,617,females,,weekly
33,2021,464,females,,weekly
34,2015,402,females,,weekly
34,2016,450,females,,weekly
34,2017,451,females,,weekly
34,2018,466,females,,weekly
34,2019,478,females,,weekly
34,2020,608,females,,weekly
34,2021,499,females,,weekly
35,2015,419,females,,weekly
35,2016,392,females,,weekly
35,2017,549,females,,weekly
35,2018,394,females,,weekly
35,2019,475,females,,weekly
35,2020,704,females,,weekly
35,2021,465,females,,weekly
36,2015,402,females,,weekly
36,2016,417,females,,weekly
36,2017,512,females,,weekly
36,2018,445,females,,weekly
36,2019,502,females,,weekly
36,2020,645,females,,weekly
36,2021,481,females,,weekly
37,2015,383,females,,weekly
37,2016,420,females,,weekly
37,2017,471,females,,weekly
37,2018,458,females,,weekly
37,2019,546,females,,weekly
37,2020,550,females,,weekly
37,2021,572,females,,weekly
38,2015,384,females,,weekly
38,2016,434,females,,weekly
38,2017,574,females,,weekly
38,2018,435,females,,weekly
38,2019,457,females,,weekly
38,2020,621,females,,weekly
38,2021,533,females,,weekly
39,2015,394,females,,weekly
39,2016,428,females,,weekly
39,2017,532,females,,weekly
39,2018,480,females,,weekly
39,2019,502,females,,weekly
39,2020,614,females,,weekly
39,2021,504,females,,weekly
40,2015,404,females,,weekly
40,2016,417,females,,weekly
40,2017,506,females,,weekly
40,2018,442,females,,weekly
40,2019,511,females,,weekly
40,2020,596,females,,weekly
40,2021,489,females,,weekly
41,2015,453,females,,weekly
41,2016,438,females,,weekly
41,2017,496,females,,weekly
41,2018,501,females,,weekly
41,2019,600,females,,weekly
41,2020,628,females,,weekly
41,2021,524,females,,weekly
42,2015,450,females,,weekly
42,2016,394,females,,weekly
42,2017,496,females,,weekly
42,2018,483,females,,weekly
42,2019,486,females,,weekly
42,2020,593,females,,weekly
42,2021,613,females,,weekly
43,2015,490,females,,weekly
43,2016,396,females,,weekly
43,2017,499,females,,weekly
43,2018,565,females,,weekly
43,2019,571,females,,weekly
43,2020,559,females,,weekly
43,2021,573,females,,weekly
44,2015,510,females,,weekly
44,2016,413,females,,weekly
44,2017,517,females,,weekly
44,2018,528,females,,weekly
44,2019,614,females,,weekly
44,2020,548,females,,weekly
44,2021,493,females,,weekly
45,2015,559,females,,weekly
45,2016,435,females,,weekly
45,2017,499,females,,weekly
45,2018,592,females,,weekly
45,2019,655,females,,weekly
45,2020,572,females,,weekly
45,2021,614,females,,weekly
46,2015,584,females,,weekly
46,2016,460,females,,weekly
46,2017,517,females,,weekly
46,2018,608,females,,weekly
46,2019,571,females,,weekly
46,2020,509,females,,weekly
46,2021,684,females,,weekly
47,2015,624,females,,weekly
47,2016,438,females,,weekly
47,2017,533,females,,weekly
47,2018,490,females,,weekly
47,2019,511,females,,weekly
47,2020,519,females,,weekly
47,2021,694,females,,weekly
48,2015,580,females,,weekly
48,2016,447,females,,weekly
48,2017,466,females,,weekly
48,2018,522,females,,weekly
48,2019,549,females,,weekly
48,2020,572,females,,weekly
48,2021,628,females,,weekly
49,2015,586,females,,weekly
49,2016,452,females,,weekly
49,2017,516,females,,weekly
49,2018,519,females,,weekly
49,2019,526,females,,weekly
49,2020,593,females,,weekly
49,2021,647,females,,weekly
50,2015,604,females,,weekly
50,2016,508,females,,weekly
50,2017,467,females,,weekly
50,2018,511,females,,weekly
50,2019,557,females,,weekly
50,2020,619,females,,weekly
50,2021,619,females,,weekly
51,2015,551,females,,weekly
51,2016,502,females,,weekly
51,2017,519,females,,weekly
51,2018,528,females,,weekly
51,2019,548,females,,weekly
51,2020,643,females,,weekly
51,2021,588,females,,weekly
52,2015,533,females,,weekly
52,2016,498,females,,weekly
52,2017,509,females,,weekly
