death_date, 0-4, 5-9, 10-14, 15-19, 20-24, 25-29, 30-34, 35-39, 40-44, 45-49, 50-54, 55-59, 60-64, 65-69, 70-74, 75-79, 80-84, 85-89, 90-94, 95-99, 100-104, 105-109, 110-114, 115-119,all_age_groups
2020-03-01,3,1,,,2,2,1,3,5,3,4,19,4,9,10,5,5,5,3,,1,,,,85
2020-03-02,2,,,,2,,4,3,3,6,11,5,8,15,10,7,7,3,2,1,,,,,89
2020-03-03,2,,,,5,4,3,5,4,9,12,8,9,15,12,15,4,2,4,,,,,,113
2020-03-04,5,,,1,3,2,3,5,6,4,5,10,12,10,9,11,8,7,1,,,,,,102
2020-03-05,6,,,,1,,2,2,7,5,7,7,14,8,12,4,6,4,4,2,,,,,91
2020-03-06,8,,,,1,2,1,4,6,1,6,15,10,15,7,5,10,1,1,,,,,,93
2020-03-07,3,1,,,1,1,4,3,5,8,7,9,9,5,10,7,12,6,1,2,,,,,94
2020-03-08,4,,,3,1,2,1,5,6,3,8,7,11,10,13,8,8,5,,,,,,,95
2020-03-09,3,,1,1,1,2,4,4,5,4,9,9,19,15,7,7,9,6,3,2,,,,,111
2020-03-10,3,,,1,1,,2,4,10,4,12,6,11,8,7,11,5,2,1,1,,,,,89
2020-03-11,,,2,,5,5,1,1,7,12,5,11,9,8,7,5,5,6,3,1,,,,,93
2020-03-12,6,,,1,,4,2,,3,3,4,13,5,4,16,4,3,8,2,,,,,,78
2020-03-13,3,,1,,2,3,2,5,5,8,10,6,8,11,11,11,9,3,3,,,,,,101
2020-03-14,6,,,2,,2,5,3,3,8,9,10,12,12,8,13,11,4,1,1,,,,,110
2020-03-15,2,,,,1,,1,4,4,9,5,10,12,15,10,7,8,6,1,1,,,,,96
2020-03-16,3,,,1,3,,5,1,5,9,7,8,12,8,10,4,8,4,1,1,,,,,90
2020-03-17,3,,,1,3,4,,5,8,6,9,8,7,14,13,9,3,6,2,1,1,,,,103
2020-03-18,2,,1,2,1,2,3,3,8,9,5,17,14,10,4,9,5,3,1,,,,,,99
2020-03-19,6,2,,,1,2,5,3,3,3,10,5,16,14,11,2,9,7,2,,,,,,101
2020-03-20,2,1,,,3,,6,2,3,9,7,10,12,11,3,2,4,5,,,,,,,80
2020-03-21,3,,1,,,2,5,1,3,7,12,7,9,17,8,4,4,6,5,,,,,,94
2020-03-22,4,,1,,2,1,1,7,5,5,7,12,4,12,11,8,5,3,2,1,,1,,,92
2020-03-23,5,,,1,3,4,3,3,6,4,10,16,11,13,12,12,3,5,,,,,,,111
2020-03-24,2,,,,4,1,2,7,2,8,7,9,10,12,11,5,10,5,4,1,1,,,,101
2020-03-25,3,,1,2,,1,2,2,6,1,4,9,13,15,13,6,6,1,2,,,,,,87
2020-03-26,3,,1,,1,1,3,5,7,5,5,4,12,10,11,9,7,1,5,2,1,,,,93
2020-03-27,7,1,,,1,3,1,2,2,6,9,6,4,6,9,2,6,5,,,,,,,70
2020-03-28,7,,,1,2,,1,6,6,4,4,5,4,10,6,8,3,2,2,4,,,,,75
2020-03-29,1,,,1,2,1,3,4,2,5,6,9,14,7,7,6,4,3,6,1,1,,,,83
2020-03-30,1,,,,1,,4,3,5,4,5,8,11,7,18,6,6,4,4,1,,,,,88
2020-03-31,2,,,,,1,2,7,1,9,4,10,7,7,11,4,8,6,,,,,,,79
2020-04-01,2,,,1,,1,2,1,6,5,7,12,7,8,10,12,6,9,3,3,,,,,95
2020-04-02,1,,,,,,,2,7,8,4,5,9,10,13,11,7,7,1,1,,1,,,87
2020-04-03,1,,,,,,,2,1,5,8,7,6,7,6,5,8,6,,1,,,,,63
2020-04-04,3,,,1,,2,4,6,3,6,8,7,7,8,7,7,6,8,1,1,,,,,85
2020-04-05,1,,,,,2,,1,7,6,8,8,9,8,9,5,7,7,1,,,,,,79
2020-04-06,,,1,1,,4,,4,1,3,3,3,5,10,6,6,8,6,3,,,,,,64
2020-04-07,3,,2,,2,,,2,6,7,10,4,9,5,7,4,4,4,,2,,,,,71
2020-04-08,1,,,,,,1,3,,5,7,7,9,4,7,9,5,4,4,1,,,,,67
2020-04-09,3,,,,1,1,2,4,1,7,7,8,8,7,10,2,7,8,,1,,,,,77
2020-04-10,1,,,,,1,,2,2,4,4,11,3,18,3,5,5,2,5,,,,,,66
2020-04-11,1,1,,2,2,1,1,,4,5,9,11,7,10,13,5,7,6,,2,,,,,87
2020-04-12,3,,,,,,1,3,8,4,7,2,8,10,9,8,11,4,3,,,,,,81
2020-04-13,3,,,1,,1,3,2,2,4,4,6,12,15,11,3,11,3,4,1,,,,,86
2020-04-14,3,,1,3,2,,1,4,5,5,2,5,4,8,8,7,6,1,,3,,,,,68
2020-04-15,2,,,1,2,1,1,3,2,4,3,6,11,7,8,7,7,2,1,1,,,,,69
2020-04-16,2,,,,1,,,2,2,4,6,4,6,10,3,7,7,4,2,,,,,,60
