death_date, 0-4, 5-9, 10-14, 15-19, 20-24, 25-29, 30-34, 35-39, 40-44, 45-49, 50-54, 55-59, 60-64, 65-69, 70-74, 75-79, 80-84, 85-89, 90-94, 95-99, 100-104, 105-109, 110-114, 115-119
2015-03-03,8,1,1,,1,6,3,3,8,11,10,16,6,17,14,12,14,16,6,1,,,,
2015-03-04,12,,,2,1,2,6,13,5,16,16,15,14,16,16,12,19,8,5,3,1,,,
2015-03-05,8,,1,2,4,3,,6,3,12,13,18,17,15,24,15,10,15,4,1,1,,,
2015-03-06,9,,1,,5,2,3,12,8,12,25,13,16,15,13,11,9,17,6,,,,,
2015-03-07,4,1,,,2,3,5,5,8,12,13,20,20,16,9,14,9,11,4,,,,,
2015-03-08,10,1,,2,7,4,7,7,7,15,8,18,12,17,18,18,15,10,6,3,2,,,
2015-03-09,11,2,2,,10,6,7,6,5,14,14,17,13,13,20,14,13,2,5,3,,,,
2015-03-10,4,1,,2,4,5,7,7,6,8,10,13,15,10,12,16,17,16,5,2,,,,
2015-03-11,6,1,,1,4,6,3,3,8,11,11,24,13,21,22,9,18,7,3,,1,,,
2015-03-12,9,1,,4,5,5,9,6,6,12,13,20,12,15,9,12,13,11,6,2,,,,
2015-03-13,10,1,1,5,3,1,5,5,6,12,18,3,11,21,14,24,13,16,8,2,,,,
2015-03-14,3,,,4,5,8,1,8,3,11,13,15,16,14,16,14,12,7,7,5,,,,
2015-03-15,7,2,,,5,7,4,6,2,9,6,11,14,15,19,12,16,6,4,,,,,
2015-03-16,9,,,1,1,5,,2,4,8,13,10,13,10,15,17,9,12,4,,,,,
2015-03-17,7,1,,3,2,8,5,6,5,7,5,21,16,16,11,16,17,6,7,1,,,,
2015-03-18,9,1,,3,3,5,8,10,12,7,14,8,19,20,19,16,16,5,4,1,,,,
2015-03-19,4,2,,2,3,,3,9,12,8,11,13,12,15,16,8,21,10,3,3,,,,
2015-03-20,6,,1,,3,7,6,4,5,13,15,14,16,16,8,14,14,12,2,1,,,,
2015-03-21,7,2,1,1,5,2,4,4,6,12,9,18,13,11,17,9,20,11,11,2,1,,,
2015-03-22,7,,,1,5,4,4,4,7,10,7,12,9,11,18,11,14,12,5,2,,,,
2015-03-23,6,1,,1,5,6,2,5,3,5,8,11,22,23,13,15,16,9,2,,,,,
2015-03-24,11,,,,2,,5,3,6,11,14,8,15,16,9,13,5,11,6,2,,,,
2015-03-25,6,2,2,3,1,3,6,4,6,9,10,7,17,15,16,17,8,16,5,1,1,,,
2015-03-26,6,3,1,3,2,3,6,6,6,8,16,16,11,13,14,12,14,10,4,1,,,,
2015-03-27,9,,1,1,,3,4,6,6,8,14,8,9,20,10,11,14,10,4,2,,,,
2015-03-28,6,1,1,3,2,4,5,4,7,16,6,10,14,26,10,12,17,12,2,3,,,,
2015-03-29,9,1,3,3,4,5,3,4,5,12,11,15,20,11,23,14,9,8,6,2,,,,
2015-03-30,12,1,,2,4,7,3,10,9,13,13,15,22,13,17,10,14,5,4,5,,,,
2015-03-31,10,,,2,2,4,6,4,3,6,10,9,17,13,16,12,7,8,2,2,,,,
2015-04-01,6,1,,2,6,3,5,7,8,9,11,13,11,18,12,12,12,11,5,1,,,,
2015-04-02,5,,,3,,5,3,3,9,6,6,12,19,15,7,17,11,9,7,,,,,
2015-04-03,7,1,1,1,3,5,4,8,7,9,9,10,8,10,10,14,10,3,4,4,,,,
2015-04-04,5,,1,5,5,2,6,5,10,16,6,8,11,12,12,14,15,14,,,1,,,
2015-04-05,10,2,1,4,,7,3,11,4,8,7,12,15,14,13,11,13,8,4,2,,,,
2015-04-06,6,,1,,4,4,5,4,9,12,13,10,8,17,15,21,18,8,2,3,,,,
2015-04-07,4,3,1,1,1,2,5,5,11,9,9,15,15,16,20,11,14,13,6,2,1,,,
2015-04-08,8,1,2,2,3,3,3,4,6,10,6,11,12,14,12,12,15,8,3,2,,,,
2015-04-09,5,2,1,2,5,4,5,11,11,8,12,16,11,16,16,17,18,10,3,,,,,
2015-04-10,8,2,2,3,3,4,4,3,4,6,11,13,7,15,16,7,15,6,6,2,1,,,
2015-04-11,10,1,,1,3,5,9,3,1,7,15,17,8,17,12,14,8,11,1,4,,,,
2015-04-12,3,1,,4,4,5,6,1,7,11,8,14,8,7,9,17,12,4,3,,,,,
2015-04-13,8,2,2,1,,1,1,6,10,14,10,10,13,20,11,9,15,9,1,,,,,
