death_date, 0-4, 5-9, 10-14, 15-19, 20-24, 25-29, 30-34, 35-39, 40-44, 45-49, 50-54, 55-59, 60-64, 65-69, 70-74, 75-79, 80-84, 85-89, 90-94, 95-99, 100-104, 105-109, 110-114, 115-119
2015-09-23,10,,1,1,3,3,5,1,4,15,13,18,8,12,18,18,10,10,3,1,,,,
2015-09-24,6,3,,,4,,9,10,9,8,9,17,15,17,10,16,14,8,6,3,,,,
2015-09-25,6,,2,,1,4,3,3,9,10,9,14,8,15,11,18,16,5,2,1,,,,
2015-09-26,6,2,2,3,3,3,2,7,10,13,11,12,10,9,16,9,13,8,6,1,,,,
2015-09-27,5,1,,2,3,2,5,8,8,8,12,18,10,16,15,13,12,4,5,2,,,,
2015-09-28,10,1,,1,5,2,4,5,11,8,4,14,7,18,16,21,17,8,3,1,,,,
2015-09-29,2,,1,5,2,4,10,4,5,7,11,8,12,11,13,16,17,7,4,2,,,,
2015-09-30,5,,2,3,1,7,7,6,4,8,12,9,10,12,15,11,13,10,1,2,,,,
2015-10-01,4,1,2,1,5,3,7,7,5,9,6,19,8,17,22,9,14,8,4,2,1,,,
2015-10-02,3,1,1,1,3,7,8,3,7,13,8,19,17,11,9,13,8,1,3,1,,,,
2015-10-03,5,2,1,2,1,3,5,7,7,9,13,12,11,14,14,11,11,5,8,1,,,,
2015-10-04,3,1,1,3,3,3,5,6,10,1,8,10,13,14,13,16,11,8,2,,,,,
2015-10-05,5,,,2,3,8,4,3,5,11,10,12,20,11,9,9,17,3,2,2,,,,
2015-10-06,4,,,1,1,4,4,10,7,7,12,8,15,11,15,13,11,8,2,1,,,,
2015-10-07,5,,,2,3,3,3,2,7,4,6,17,13,18,13,10,9,15,3,,,1,,
2015-10-08,5,2,2,,4,4,5,9,9,9,14,7,11,10,15,15,9,6,4,1,1,,,
2015-10-09,5,,,1,6,1,2,5,2,10,14,14,14,10,10,17,17,10,7,1,,,,
2015-10-10,10,,,2,1,1,3,6,8,14,8,11,9,17,18,13,10,8,3,1,1,,1,
2015-10-11,3,,3,3,3,4,4,6,11,12,6,10,11,12,18,13,15,10,7,1,,,,
2015-10-12,7,,3,3,4,9,10,7,6,13,8,17,23,17,13,14,12,12,2,2,,,,
2015-10-13,1,,2,3,4,4,4,4,10,11,11,13,9,18,10,16,9,9,5,3,,,,
2015-10-14,6,,,3,6,3,5,11,13,14,14,12,17,21,17,17,16,6,6,2,1,,,
2015-10-15,7,,,3,,5,7,7,11,11,15,11,13,12,18,15,15,5,5,2,,,,
2015-10-16,7,,,,3,5,6,1,5,5,13,9,10,13,13,17,11,11,5,3,1,,,
2015-10-17,4,1,2,1,3,4,3,7,10,15,15,10,18,19,12,14,13,12,,3,,,,
2015-10-18,3,1,,1,7,4,6,6,6,7,10,19,14,19,14,21,18,17,3,5,,,,
2015-10-19,7,,,3,4,5,8,2,8,8,10,14,12,16,20,15,13,9,4,3,,,,
2015-10-20,7,1,3,,6,6,7,13,7,13,13,16,12,16,17,16,17,3,3,2,1,,,
2015-10-21,10,3,,1,5,3,6,4,4,14,12,13,12,23,19,14,7,9,4,2,,,,
2015-10-22,14,,,3,4,2,9,6,6,13,10,13,7,18,14,13,15,9,3,2,,,,
2015-10-23,9,1,2,,4,6,5,8,14,14,8,7,15,19,15,16,17,8,6,6,1,,,
2015-10-24,6,,3,7,4,5,4,10,8,10,6,19,15,14,18,12,8,10,3,,,,,
2015-10-25,6,,1,4,6,4,7,3,7,13,14,16,23,20,4,14,15,20,3,3,,,,
2015-10-26,3,1,1,3,7,2,5,12,2,17,19,11,20,18,15,23,20,11,6,1,,,,
2015-10-27,5,,1,2,5,5,4,8,11,14,11,20,17,19,14,12,10,15,5,,,,,
2015-10-28,7,1,,2,3,5,3,9,8,15,10,15,17,12,23,9,11,12,3,,,1,,
2015-10-29,10,,2,2,1,4,5,9,6,11,16,18,15,18,9,14,7,9,8,3,1,,,
2015-10-30,6,,,1,3,5,8,6,10,11,16,19,21,19,20,19,16,13,6,2,,,,
2015-10-31,6,,,2,1,6,7,4,7,16,7,14,11,20,14,23,11,9,6,3,,,,
2015-11-01,7,3,3,1,1,3,4,5,9,12,9,11,11,24,21,21,14,9,1,1,,,,
2015-11-02,12,,2,4,3,6,2,8,6,13,16,9,15,25,18,15,19,8,3,1,,,,
2015-11-03,6,2,3,2,5,4,2,8,7,13,8,13,15,19,19,17,21,12,10,1,,,,
2015-11-04,7,,,2,4,6,3,9,6,11,21,9,18,25,14,23,13,8,5,,,,,
2015-11-05,5,2,,1,1,2,5,7,7,18,12,9,22,22,24,23,15,14,7,,,,,
2015-11-06,9,1,,1,4,7,3,4,14,9,14,13,19,15,21,19,19,18,4,2,,,,
2015-11-07,11,1,2,1,4,4,8,6,9,10,11,8,13,15,21,22,18,12,10,2,,,,
2015-11-08,17,2,3,,4,5,7,4,5,15,6,17,25,19,9,12,11,15,7,3,,,,
2015-11-09,14,,,3,4,1,6,8,7,7,5,18,15,20,22,25,20,10,3,2,,,,
2015-11-10,12,4,,2,1,4,8,8,10,17,6,12,23,18,11,20,23,13,10,5,,,,
2015-11-11,10,1,2,,2,6,2,9,8,14,10,26,12,17,13,18,19,13,11,,,,,
2015-11-12,10,1,1,4,3,5,5,10,10,10,8,14,16,24,25,16,26,9,9,5,,,,
2015-11-13,5,,1,3,4,4,5,8,7,12,13,20,18,23,13,23,7,14,4,2,2,,,
2015-11-14,5,2,2,1,,2,4,5,9,14,8,15,12,17,22,16,15,19,10,1,,,,
2015-11-15,4,3,1,1,5,9,4,4,11,15,13,9,21,21,22,19,19,16,8,2,2,,,
2015-11-16,4,1,1,2,1,4,7,12,10,16,15,15,22,22,21,26,22,17,6,2,2,,,
2015-11-17,6,1,2,,3,4,2,6,8,14,26,12,16,28,17,22,23,16,6,4,,,,
2015-11-18,4,5,3,1,4,2,7,7,7,13,19,11,16,18,21,17,21,15,12,1,,,,
2015-11-19,3,1,1,1,4,9,9,8,4,10,12,22,19,21,19,18,20,20,9,5,,1,,
2015-11-20,4,2,2,6,2,7,4,5,8,14,18,18,26,21,18,22,17,16,9,4,1,,,
2015-11-21,8,,1,1,2,4,8,7,7,12,22,18,18,19,21,16,17,12,8,3,,,,
2015-11-22,10,1,2,4,4,8,6,9,11,12,16,16,20,26,19,21,21,11,10,3,,,,
2015-11-23,10,1,,2,4,6,5,4,4,10,13,20,19,16,21,19,24,12,8,2,,,,
2015-11-24,9,1,1,2,2,6,5,4,8,11,12,14,12,22,19,21,18,16,12,2,1,,,
2015-11-25,10,3,,4,2,5,2,4,9,13,16,18,21,29,20,22,27,12,10,2,,,,
2015-11-26,6,1,1,3,3,4,3,9,10,16,14,21,27,23,16,21,23,14,7,1,2,,,
2015-11-27,8,,,3,,2,5,7,9,17,13,18,19,19,15,19,26,11,9,6,,,,
2015-11-28,7,2,2,4,2,4,6,11,5,7,14,16,12,10,10,16,16,14,3,1,,,,
2015-11-29,6,2,,1,5,3,2,9,5,9,15,20,19,20,19,15,18,18,11,5,,,,
2015-11-30,4,2,,3,8,6,6,8,7,16,18,27,10,19,18,15,16,14,4,1,3,,,
2015-12-01,4,,1,2,3,5,6,9,5,15,12,23,17,17,15,20,20,14,7,1,,,,
2015-12-02,9,1,1,4,5,3,6,8,8,19,29,20,17,29,23,28,23,14,7,3,,1,,
2015-12-03,9,1,3,1,2,4,7,13,11,16,16,12,20,19,20,20,17,16,7,1,,,,
2015-12-04,6,3,3,9,1,6,10,14,15,11,15,14,17,24,24,19,21,18,6,6,,,,
2015-12-05,4,,1,3,7,1,6,3,8,10,11,13,14,23,18,15,23,13,8,5,1,,1,
2015-12-06,7,2,1,,1,1,5,4,7,8,12,16,9,16,19,21,16,12,10,,1,,,
2015-12-07,5,1,,1,3,4,2,7,4,9,11,18,13,26,24,21,18,12,3,3,,,,
2015-12-08,5,,2,6,7,3,3,6,8,9,19,18,13,18,15,18,10,9,7,5,1,,,
2015-12-09,6,2,1,3,6,5,1,8,8,8,13,15,21,14,11,19,23,13,7,2,,,,
2015-12-10,5,2,2,2,3,1,2,6,5,14,16,14,19,31,14,16,18,26,6,,,,,
2015-12-11,10,1,,1,2,5,2,6,11,14,11,17,21,18,23,19,13,10,8,5,1,1,,
2015-12-12,6,2,,4,2,6,6,3,5,18,12,18,15,27,18,18,20,19,6,2,2,,,
2015-12-13,4,,,1,10,3,3,4,2,8,12,14,19,24,22,22,15,20,4,3,,,,
2015-12-14,8,,2,3,2,7,7,5,7,15,13,14,19,19,19,22,22,11,8,3,,,,
2015-12-15,4,2,,3,3,6,4,2,12,14,16,16,16,18,18,24,26,14,11,2,1,,,
2015-12-16,6,1,2,2,4,3,6,5,7,9,17,25,17,19,20,24,16,12,5,3,,,,
2015-12-17,11,,,1,4,8,3,9,9,12,19,12,14,21,17,13,17,16,9,3,,,,
2015-12-18,8,,2,,5,4,9,10,12,15,16,23,18,19,24,20,21,13,7,3,,,,
2015-12-19,6,2,6,1,3,1,6,4,6,15,13,19,14,23,10,26,14,13,8,2,1,,,
2015-12-20,13,1,1,3,5,3,4,5,13,11,16,10,18,16,19,22,16,12,6,2,,,,
2015-12-21,7,3,2,1,5,5,8,8,7,10,29,13,17,19,24,15,14,16,6,1,1,1,,
2015-12-22,5,,1,,4,2,4,6,2,13,17,20,17,19,18,28,16,18,6,2,1,,,
2015-12-23,10,,,1,2,,2,3,12,14,11,15,22,14,16,14,20,16,2,1,,,,
2015-12-24,7,2,,2,2,5,2,6,10,18,11,15,21,18,19,28,16,7,5,1,2,,,
2015-12-25,7,2,,1,4,4,2,3,16,8,16,11,20,18,14,20,17,8,5,3,,1,,
2015-12-26,6,,,2,2,4,5,7,8,9,6,15,18,21,24,18,10,11,4,6,,,,
2015-12-27,8,2,1,5,2,5,3,3,10,15,12,18,20,31,21,14,18,9,7,,1,,,
2015-12-28,6,2,1,5,2,3,4,4,5,9,8,18,13,21,18,19,19,13,4,1,,,,
2015-12-29,9,,1,1,3,3,4,5,6,11,18,12,19,11,13,19,14,16,5,1,1,,,
2015-12-30,9,,1,3,4,4,1,14,8,9,13,13,12,18,21,24,19,8,6,2,1,,,
2015-12-31,7,2,1,2,3,5,4,7,11,11,11,17,15,25,22,14,23,18,10,3,,,,
2016-01-01,5,3,,3,4,1,5,7,9,13,6,15,13,21,23,16,18,14,7,1,1,,,
2016-01-02,10,1,,,8,6,10,8,7,10,7,10,17,17,15,20,16,13,8,1,2,,,
2016-01-03,5,,2,2,3,10,6,4,9,14,8,15,23,16,17,16,20,13,8,2,1,,,
2016-01-04,3,,3,1,4,1,5,3,9,8,11,13,22,23,23,19,16,14,9,3,,,,
2016-01-05,6,1,1,3,7,5,10,5,10,8,9,27,18,13,16,15,14,13,4,4,1,,,
2016-01-06,8,1,1,1,5,6,7,4,8,10,8,17,25,23,15,15,19,6,7,1,1,,,
2016-01-07,4,1,2,2,,4,6,5,8,12,6,15,16,20,25,16,17,12,8,4,1,,,
2016-01-08,8,2,,,1,5,5,5,4,7,6,15,20,13,19,18,16,13,7,1,,,,
2016-01-09,5,2,2,2,6,5,1,4,13,11,17,11,15,15,16,22,12,9,12,2,,,,
2016-01-10,8,2,,,6,4,2,9,6,9,11,16,21,18,13,18,19,11,9,3,1,,,
2016-01-11,11,1,1,5,2,4,6,6,6,15,15,19,17,21,13,15,11,12,8,2,,,,
2016-01-12,8,1,2,4,6,3,3,6,6,6,11,20,17,15,19,18,18,13,5,1,,,,
2016-01-13,3,1,1,1,1,8,5,7,12,10,11,14,17,21,18,12,14,13,5,4,1,,,
2016-01-14,9,3,,2,2,3,5,4,9,7,14,14,20,20,17,17,21,10,6,5,,,,
2016-01-15,9,1,2,2,4,1,5,5,8,4,12,13,22,24,12,18,12,7,6,,,,,
2016-01-16,8,2,3,,2,6,6,3,13,18,21,14,18,21,12,21,12,21,4,2,,,,
2016-01-17,9,1,1,3,1,1,4,15,8,12,8,17,19,14,16,19,18,8,7,,,,,
2016-01-18,8,2,2,2,3,2,6,6,10,13,9,17,24,20,17,20,16,16,8,,1,,,
2016-01-19,10,1,1,,6,12,5,10,9,10,13,17,21,20,20,23,17,13,6,3,,,,
2016-01-20,7,2,1,,5,8,3,6,8,16,5,20,19,14,14,25,21,17,7,3,,,,
2016-01-21,14,,,4,3,1,2,4,6,9,9,14,13,18,11,20,15,16,11,1,1,,,
2016-01-22,4,2,,1,2,2,5,5,7,11,13,17,24,17,20,14,11,12,5,2,1,,,
2016-01-23,7,1,1,1,4,3,2,8,8,14,13,22,17,17,17,16,10,6,7,2,,,,
2016-01-24,9,,1,3,1,7,4,2,10,13,13,13,4,21,20,20,22,8,3,,1,,,
2016-01-25,8,1,5,4,2,5,4,4,11,11,14,13,13,16,24,23,15,10,9,,,,,
2016-01-26,9,2,,1,2,8,5,4,12,14,17,13,12,21,16,14,18,11,12,4,1,1,,
2016-01-27,9,,1,1,1,8,3,3,8,12,9,11,11,15,17,16,10,10,4,2,,,,
2016-01-28,4,1,3,1,2,1,6,5,3,7,10,16,24,12,14,19,19,13,2,1,1,,,
2016-01-29,6,,,2,,5,4,4,6,8,9,13,10,20,18,13,13,15,5,4,1,,,
2016-01-30,4,,1,2,3,2,1,3,5,6,13,12,20,19,20,18,14,11,2,4,,1,,
2016-01-31,8,,1,5,,5,3,6,8,10,12,12,17,12,16,19,20,13,5,2,,,,
2016-02-01,5,1,1,2,2,9,9,5,7,10,16,8,16,8,11,10,21,15,6,1,,,,
2016-02-02,5,1,1,,3,4,6,7,10,10,20,17,12,17,18,13,16,15,9,2,,,,
2016-02-03,13,,2,1,1,5,6,7,4,7,8,10,18,16,19,10,16,18,5,3,,,,
2016-02-04,13,,1,2,4,10,6,7,9,12,9,10,19,22,17,12,11,11,10,,1,,,
2016-02-05,11,1,,1,2,5,5,4,8,11,13,13,15,16,22,18,13,8,6,1,,,,
2016-02-06,13,1,,,3,2,4,6,7,8,12,12,18,22,15,18,9,10,3,3,,,,
2016-02-07,1,,,3,2,5,3,2,5,15,15,14,14,19,10,14,15,10,5,1,1,,,
2016-02-08,7,1,3,,5,3,2,11,6,9,13,17,15,18,16,11,7,10,6,,,,,
2016-02-09,7,4,,2,,5,6,4,10,11,10,19,15,23,14,10,11,11,3,,,,,
2016-02-10,8,1,1,4,3,2,9,4,10,12,6,10,9,18,21,8,16,8,6,2,,,,
2016-02-11,6,2,1,1,2,8,5,7,4,4,12,13,18,26,18,10,11,9,7,,1,,,
2016-02-12,7,,1,,,,7,7,4,15,15,19,22,9,11,10,10,8,5,,,,,
2016-02-13,3,1,,,5,4,4,5,7,11,12,14,12,12,18,15,17,14,4,2,,,,
2016-02-14,6,1,1,1,4,9,5,9,9,13,9,10,17,17,12,16,13,16,4,1,,,,
2016-02-15,3,1,,2,3,4,7,8,7,11,15,20,22,13,10,11,13,12,11,1,1,,,
2016-02-16,6,3,,4,3,4,2,9,16,8,15,14,15,22,15,15,12,10,5,1,,,,
2016-02-17,5,,1,,2,3,5,9,9,8,14,14,19,12,16,16,8,12,3,1,,,,
2016-02-18,8,,1,1,1,2,5,3,8,9,12,11,22,13,26,19,19,8,7,2,,,,
2016-02-19,7,,,3,2,3,4,7,5,12,14,6,14,20,8,15,13,16,5,,,,,
2016-02-20,7,,,6,1,2,3,4,9,21,12,19,20,12,23,12,10,12,3,1,,,,
2016-02-21,5,1,,1,2,3,4,5,3,10,12,19,10,13,8,13,14,10,4,1,,,,
2016-02-22,9,1,,1,3,4,4,4,14,11,9,16,16,18,22,15,16,11,3,1,,,,
2016-02-23,5,1,,1,4,3,3,3,6,11,14,18,9,16,9,12,16,13,8,1,2,,,
2016-02-24,8,2,,3,1,7,5,4,3,8,18,13,16,18,12,17,20,10,6,2,,,,
2016-02-25,11,,1,,3,7,5,4,11,13,13,11,10,16,24,20,16,3,3,2,,1,,
2016-02-26,8,1,1,1,2,1,4,6,8,6,11,9,13,10,9,11,17,12,6,,,,,
2016-02-27,5,1,,3,2,1,3,3,4,11,9,18,18,20,18,8,18,9,2,1,1,,,
2016-02-28,5,1,1,3,1,5,3,6,9,8,17,15,14,21,21,18,14,10,4,1,,,,
2016-02-29,8,1,2,1,5,6,3,6,5,7,9,13,9,13,15,16,11,10,3,2,1,,,
2016-03-01,10,1,,3,1,6,4,10,7,8,10,6,14,15,13,8,11,9,4,2,,,,
2016-03-02,7,,1,3,1,4,2,4,6,11,5,14,12,15,19,12,17,9,3,,,,,
2016-03-03,10,2,2,2,2,1,1,9,4,16,11,16,16,17,14,14,16,7,12,4,,,,
2016-03-04,3,1,1,4,2,4,8,8,3,8,8,13,12,18,17,15,14,10,8,2,,,,
2016-03-05,2,,,1,2,5,3,3,7,10,15,16,15,21,20,10,15,5,7,,,,,
2016-03-06,1,1,,3,3,5,6,3,10,8,8,17,20,24,15,11,19,11,4,,,,,
2016-03-07,3,,2,3,7,5,4,7,4,6,7,15,18,12,12,21,10,6,4,2,,,,
2016-03-08,2,,1,1,4,5,8,6,9,10,12,7,9,12,8,7,17,10,5,,,,,
2016-03-09,9,1,1,6,3,3,3,1,7,9,12,16,13,15,12,12,19,6,4,1,,1,,
2016-03-10,10,3,,4,2,3,2,7,6,14,16,14,22,9,12,10,17,5,2,4,,,,
2016-03-11,3,,2,1,3,6,4,1,8,4,9,14,12,11,15,19,12,11,2,1,,,,
2016-03-12,4,1,,,8,3,6,6,14,9,11,15,14,9,17,12,14,16,3,4,,,,
2016-03-13,1,,,1,3,2,4,6,7,12,9,6,24,15,11,12,5,10,7,3,2,,,
2016-03-14,4,,,4,9,3,1,8,10,9,14,15,16,10,8,15,12,12,5,2,2,,,
2016-03-15,5,3,,3,3,6,6,5,11,12,13,11,13,18,16,15,11,6,9,,,,,
2016-03-16,2,,,1,2,4,6,4,8,16,13,11,16,20,21,13,8,13,2,1,,,,
2016-03-17,5,1,1,1,2,3,5,6,12,7,12,12,18,13,19,12,13,13,4,2,,,,
2016-03-18,4,,1,2,3,3,3,5,6,13,14,6,14,16,12,17,10,11,4,1,,,,
2016-03-19,5,1,,1,3,5,4,4,2,13,13,7,14,9,8,11,16,6,4,1,,,,
2016-03-20,,1,,3,1,4,2,7,6,9,10,17,16,11,12,15,8,6,7,4,,,,
2016-03-21,2,,,1,4,,4,10,6,17,13,16,13,17,10,12,10,11,2,1,,,,
2016-03-22,2,1,2,3,7,6,7,2,9,10,7,8,11,18,8,13,7,9,2,1,,,,
2016-03-23,5,1,2,2,7,,5,6,5,8,7,17,15,19,21,11,16,12,4,1,1,,,
2016-03-24,2,1,,1,6,3,2,7,5,12,12,8,14,20,13,13,13,13,9,3,,,,
2016-03-25,3,,,,2,1,9,7,6,10,10,13,14,14,16,13,6,6,4,4,1,,,
2016-03-26,3,1,,1,2,2,4,9,5,7,15,10,17,9,17,17,7,7,5,2,,,,
2016-03-27,2,1,1,2,4,3,2,7,5,9,5,10,10,16,14,16,14,7,2,2,1,,,
2016-03-28,4,,,2,5,7,3,4,8,4,14,13,15,8,12,15,13,8,6,,,,,
2016-03-29,3,,1,3,1,4,6,6,11,9,12,12,17,20,12,12,14,15,4,1,,,,
2016-03-30,2,,1,3,,6,4,4,8,9,4,11,15,15,12,13,15,3,5,,,,,
2016-03-31,1,,,1,,4,4,8,7,11,19,14,9,19,15,18,11,7,4,,,,,
2016-04-01,3,,,3,2,4,6,3,4,10,8,15,13,14,16,14,13,11,2,,,,,
2016-04-02,10,2,1,,5,3,4,6,17,9,16,22,12,17,18,18,7,7,3,,,,,
2016-04-03,8,,4,3,1,4,6,6,9,8,18,8,15,15,17,16,13,7,3,2,,,,
2016-04-04,4,2,,2,3,5,3,8,11,8,10,18,17,14,15,16,8,5,1,1,,,,
2016-04-05,5,2,2,1,1,8,9,6,13,15,7,19,11,9,10,9,11,6,7,2,,1,,
2016-04-06,1,1,2,,4,4,7,3,15,9,11,8,11,19,18,15,13,12,3,3,,,,
2016-04-07,6,2,2,2,5,2,6,3,7,5,14,12,15,10,18,11,14,13,4,2,,,,
2016-04-08,6,,3,1,2,7,3,5,7,9,12,9,10,19,17,8,14,12,3,1,,,,
2016-04-09,7,,2,1,7,4,1,6,9,6,10,13,13,11,12,10,5,12,4,1,,,,
2016-04-10,8,3,,1,4,6,5,6,9,6,10,12,15,13,20,13,5,12,4,2,,,,
2016-04-11,5,1,2,3,1,6,8,5,7,10,9,23,11,14,15,14,17,7,5,,,,,
2016-04-12,7,2,,2,2,1,2,10,4,7,12,13,11,20,15,16,9,7,4,,1,,,
2016-04-13,5,,1,1,5,3,1,6,9,5,14,11,18,16,18,11,19,16,4,1,,,,
2016-04-14,5,,1,1,2,3,3,9,9,12,6,12,9,21,11,10,18,9,5,,,,,
2016-04-15,1,2,1,,5,6,5,5,6,6,14,16,12,15,11,12,20,8,5,1,,,,
2016-04-16,5,2,3,2,3,3,6,3,5,9,11,20,10,16,15,12,8,10,6,,,,,
2016-04-17,9,1,,1,3,2,5,8,8,13,15,15,12,15,18,13,18,5,2,3,1,,,
2016-04-18,5,,,2,2,1,3,9,7,11,9,13,12,16,9,16,18,10,3,,1,,,
2016-04-19,9,1,2,1,,7,6,6,7,15,8,13,11,12,14,9,12,2,5,2,1,,,
2016-04-20,,,,2,6,6,4,5,9,7,10,8,12,16,14,17,9,11,3,1,,,,
2016-04-21,4,,,1,1,2,3,4,6,9,7,15,10,9,12,15,13,6,4,,,,,
2016-04-22,8,,,,5,4,2,10,4,10,10,18,19,17,13,14,14,8,3,3,,,,
2016-04-23,2,1,,3,1,5,4,6,10,13,10,6,20,16,17,16,16,14,6,6,,,,
2016-04-24,2,,1,1,4,8,3,6,5,10,14,17,13,16,20,9,12,17,8,,,,,
2016-04-25,4,,1,2,5,6,7,4,9,7,15,9,13,20,20,19,23,13,4,2,,,1,
2016-04-26,2,1,1,,1,1,3,8,9,15,12,9,10,16,22,11,10,14,7,,,,,
2016-04-27,4,,1,,8,2,6,4,5,8,12,16,18,16,11,18,18,16,5,2,,,,
2016-04-28,7,1,,3,6,7,6,6,7,12,9,14,14,14,17,11,9,3,8,1,,,,
2016-04-29,1,1,1,1,3,2,2,7,11,12,5,7,16,14,22,15,14,9,5,,2,1,,
2016-04-30,2,2,2,1,6,7,3,6,14,11,10,11,13,10,14,15,11,11,4,3,,,1,
2016-05-01,6,,,2,4,5,6,5,7,10,5,6,20,14,21,24,8,10,3,,2,,,
2016-05-02,3,,,1,3,5,10,5,7,5,12,11,14,15,14,14,8,13,6,,,,,
2016-05-03,8,,1,3,3,2,8,10,6,10,14,8,13,13,23,11,11,10,3,3,,,,
2016-05-04,8,1,1,2,3,4,9,9,9,10,9,15,8,17,15,15,8,11,5,3,,,,
2016-05-05,3,1,1,1,1,2,3,5,3,7,8,11,16,14,15,13,14,6,7,,,,,
2016-05-06,3,,1,7,5,1,5,4,6,10,5,9,11,20,18,10,20,3,4,3,,,,
2016-05-07,1,2,1,2,5,5,9,3,8,9,16,13,12,25,15,15,7,12,5,,,,,
2016-05-08,4,,,4,4,7,4,4,10,8,8,6,11,10,12,20,14,5,3,2,,,,
2016-05-09,2,1,3,5,4,9,4,5,8,11,14,15,13,15,13,7,11,21,3,,,,,
2016-05-10,2,2,1,2,7,6,5,3,7,4,11,10,12,14,12,11,11,11,4,2,1,,,
2016-05-11,4,,1,3,1,2,5,7,8,9,12,17,15,18,8,19,12,14,8,1,,,,
2016-05-12,3,1,4,,3,11,6,7,8,7,12,19,18,21,12,16,18,11,7,5,,,,
2016-05-13,5,1,,2,5,4,13,4,12,8,11,21,22,26,20,16,5,12,6,2,,,,
2016-05-14,6,1,1,1,3,5,4,6,7,20,17,13,14,12,22,25,10,6,6,2,,,,
2016-05-15,5,,,2,1,3,7,8,7,7,14,13,11,18,10,14,19,12,5,,,,,
2016-05-16,5,,,2,4,2,3,7,13,16,13,15,21,23,17,9,8,12,6,3,,1,,
2016-05-17,3,1,,4,1,3,4,5,3,10,11,17,13,16,15,14,12,9,3,1,,1,,
2016-05-18,1,1,1,,1,3,2,7,9,13,16,12,13,14,12,15,8,2,4,2,1,,,
2016-05-19,3,,,,3,5,6,4,7,7,8,9,11,17,10,4,12,9,4,1,1,,,
2016-05-20,6,1,,,,2,3,5,9,6,10,16,18,14,10,15,13,6,5,3,1,,,
2016-05-21,9,1,1,3,1,7,4,8,8,12,18,19,21,14,12,16,13,14,7,2,,,,
2016-05-22,3,1,,1,6,6,4,10,9,10,10,15,19,15,17,18,13,10,4,2,,,,
2016-05-23,6,,,1,4,1,5,8,7,12,10,18,13,16,15,19,16,5,8,3,,,,
2016-05-24,4,,2,4,4,4,8,8,5,11,9,18,21,21,19,14,12,12,3,1,,,,
2016-05-25,3,,2,4,4,3,4,11,5,9,10,17,16,19,21,18,11,13,5,3,1,,,
2016-05-26,3,2,1,3,5,7,5,9,14,9,21,14,13,20,24,18,17,19,7,1,,,,
2016-05-27,6,1,,4,3,9,10,7,6,8,13,18,20,16,15,21,16,14,3,,,,,
2016-05-28,4,1,3,1,4,3,4,6,6,19,12,8,23,16,18,11,15,7,9,3,,,,
2016-05-29,3,,1,2,6,4,8,14,7,10,14,16,24,14,16,13,17,16,4,2,1,1,,
2016-05-30,4,,1,3,5,7,11,7,10,14,10,8,12,25,15,14,9,15,5,,2,,,
2016-05-31,3,2,,3,3,3,4,7,7,7,11,15,18,16,15,13,8,14,4,2,,,,
2016-06-01,4,1,1,1,6,3,6,1,9,8,12,16,11,8,14,15,13,7,8,2,,,,
2016-06-02,5,,,5,1,6,3,6,4,12,16,11,14,9,23,17,15,12,6,2,,,,
2016-06-03,6,1,2,2,3,5,6,8,9,7,7,13,16,13,16,12,12,13,6,2,1,,,
2016-06-04,5,,2,1,7,1,4,3,6,10,7,12,17,13,16,5,10,5,5,2,,,,
2016-06-05,7,,2,4,2,8,7,7,5,9,10,15,11,15,9,8,13,6,4,1,1,,,
2016-06-06,2,2,1,5,4,5,5,6,9,9,8,16,12,17,21,13,12,7,7,1,1,,,
2016-06-07,4,,,2,3,8,4,10,11,10,12,16,18,13,14,11,15,6,8,3,,,,
2016-06-08,3,,,2,2,5,6,1,10,8,8,11,17,9,10,9,20,14,3,1,,,,
2016-06-09,6,,1,2,4,7,9,8,10,13,12,18,13,15,7,14,14,10,6,,,,,
2016-06-10,3,,1,,5,3,5,2,4,12,15,22,10,18,10,14,11,6,8,2,,1,,
2016-06-11,1,2,,,4,2,5,8,7,13,10,16,17,15,13,12,9,10,2,1,,,,
2016-06-12,2,1,1,3,5,4,6,3,10,12,10,13,19,12,14,11,9,2,4,2,,,,
2016-06-13,1,,1,7,5,3,7,6,10,14,13,20,12,16,24,16,7,7,2,2,,,,
2016-06-14,2,,,2,4,3,1,3,10,11,15,9,27,24,14,22,18,16,8,3,,,,
2016-06-15,11,1,,1,4,3,5,11,8,8,11,12,17,21,19,18,15,11,4,1,2,,,
2016-06-16,3,,1,2,10,5,4,7,4,8,12,15,13,21,14,14,12,19,4,1,1,,,
2016-06-17,2,,,4,,1,9,3,13,5,12,12,12,23,15,11,18,10,3,,,,,
2016-06-18,2,,,1,1,3,2,8,7,9,8,13,9,21,19,13,15,7,4,,,,,
2016-06-19,4,1,2,2,3,5,6,10,10,8,9,15,15,17,9,13,9,4,3,2,1,,,
2016-06-20,4,,,1,4,4,1,10,6,12,16,14,18,12,11,10,10,8,7,2,,,,
2016-06-21,4,1,,4,8,7,10,4,8,15,8,19,17,13,15,13,13,10,4,2,1,1,,
2016-06-22,2,,,1,4,6,2,5,4,13,11,9,15,12,10,13,6,7,5,,,,,
2016-06-23,8,,2,1,4,4,4,7,9,13,7,13,17,16,8,15,14,7,2,2,,,,
2016-06-24,,,,3,2,2,8,8,9,8,11,15,15,16,14,10,8,6,5,2,,,,
