Year,Week,Deceased Males,Deceased Females,Deceased Transgender,Total Deceased
2005,52,628,459,0,1087
2006,52,622,406,0,1028
2007,52,628,448,0,1076
2008,52,638,397,0,1035
2009,52,713,471,0,1184
2010,52,758,513,0,1271
2011,52,677,456,0,1133
2012,52,666,393,0,1059
2013,52,693,501,0,1194
2014,52,699,505,0,1204
2015,52,762,533,0,1295
2016,52,761,498,0,1259
2017,52,783,509,0,1292
2018,52,785,541,0,1326
2019,52,735,532,0,1267
2020,52,895,628,0,1523
2000,53,142,100,0,242
2001,53,83,53,0,136
2002,53,76,42,0,118
2003,53,75,51,0,126
2004,53,157,91,0,248
2005,53,84,70,0,154
2006,53,80,51,0,131
2007,53,112,47,0,159
2008,53,180,103,0,283
2009,53,97,81,0,178
2010,53,91,71,0,162
2011,53,108,57,0,165
2012,53,201,135,0,336
2013,53,101,70,0,171
2014,53,111,78,0,189
2015,53,115,96,0,211
2016,53,215,157,0,372
2017,53,108,89,0,197
2018,53,118,66,0,184
2019,53,119,76,0,195
2020,53,268,150,0,418
