ZONE,DIV,YEAR,MONTH,DAY,DATE
1,004,2015,1,22,22-01-2015
1,004,2015,2,6,06-02-2015
1,004,2015,2,9,09-02-2015
1,004,2015,2,10,10-02-2015
1,004,2015,2,16,16-02-2015
1,004,2015,2,24,24-02-2015
1,004,2015,2,24,24-02-2015
1,004,2015,3,1,01-03-2015
1,004,2015,3,6,06-03-2015
1,004,2015,3,7,07-03-2015
1,004,2015,3,20,20-03-2015
1,004,2015,4,2,02-04-2015
1,004,2015,4,4,04-04-2015
1,004,2015,4,11,11-04-2015
1,004,2015,4,12,12-04-2015
1,004,2015,4,18,18-04-2015
1,004,2015,4,20,20-04-2015
1,004,2015,4,29,29-04-2015
1,004,2015,5,3,03-05-2015
1,004,2015,5,3,03-05-2015
1,004,2015,5,4,04-05-2015
1,004,2015,5,14,14-05-2015
1,004,2015,5,21,21-05-2015
1,004,2015,5,22,22-05-2015
1,004,2015,6,2,02-06-2015
1,004,2015,6,26,26-06-2015
1,004,2015,7,12,12-07-2015
1,004,2015,7,19,19-07-2015
1,004,2015,7,27,27-07-2015
1,004,2015,7,28,28-07-2015
1,004,2015,8,3,03-08-2015
1,004,2015,8,19,19-08-2015
1,004,2015,8,23,23-08-2015
1,004,2015,8,23,23-08-2015
1,004,2015,8,30,30-08-2015
1,004,2015,9,3,03-09-2015
1,004,2015,9,9,09-09-2015
1,004,2015,9,13,13-09-2015
1,004,2015,9,17,17-09-2015
1,004,2015,9,18,18-09-2015
1,004,2015,9,26,26-09-2015
1,004,2015,10,19,19-10-2015
1,004,2015,11,8,08-11-2015
1,004,2015,11,8,08-11-2015
1,004,2015,11,17,17-11-2015
1,004,2015,11,22,22-11-2015
1,004,2015,11,23,23-11-2015
1,004,2015,11,25,25-11-2015
1,004,2015,12,6,06-12-2015
1,005,2015,1,1,01-01-2015
1,005,2015,1,11,11-01-2015
1,005,2015,1,25,25-01-2015
1,005,2015,2,4,04-02-2015
1,005,2015,2,7,07-02-2015
1,005,2015,2,8,08-02-2015
1,005,2015,2,18,18-02-2015
1,005,2015,3,15,15-03-2015
1,005,2015,3,22,22-03-2015
1,005,2015,3,31,31-03-2015
1,005,2015,4,5,05-04-2015
1,005,2015,4,24,24-04-2015
1,005,2015,4,28,28-04-2015
1,005,2015,4,28,28-04-2015
1,005,2015,5,2,02-05-2015
1,005,2015,5,5,05-05-2015
1,005,2015,5,7,07-05-2015
1,005,2015,5,17,17-05-2015
1,005,2015,5,19,19-05-2015
1,005,2015,5,21,21-05-2015
1,005,2015,5,22,22-05-2015
1,005,2015,5,25,25-05-2015
1,005,2015,6,5,05-06-2015
1,005,2015,6,19,19-06-2015
1,005,2015,6,21,21-06-2015
1,005,2015,7,1,01-07-2015
1,005,2015,7,2,02-07-2015
1,005,2015,7,8,08-07-2015
1,005,2015,7,9,09-07-2015
1,005,2015,7,10,10-07-2015
1,005,2015,7,23,23-07-2015
1,005,2015,7,30,30-07-2015
1,005,2015,8,5,05-08-2015
1,005,2015,8,16,16-08-2015
1,005,2015,8,17,17-08-2015
1,005,2015,8,26,26-08-2015
1,005,2015,8,27,27-08-2015
1,005,2015,9,1,01-09-2015
1,005,2015,9,4,04-09-2015
1,005,2015,9,9,09-09-2015
1,005,2015,9,15,15-09-2015
1,005,2015,9,18,18-09-2015
1,005,2015,9,20,20-09-2015
1,005,2015,10,8,08-10-2015
1,005,2015,10,25,25-10-2015
1,005,2015,10,27,27-10-2015
1,005,2015,10,29,29-10-2015
1,005,2015,11,2,02-11-2015
1,005,2015,11,3,03-11-2015
1,005,2015,11,17,17-11-2015
1,005,2015,11,26,26-11-2015
1,005,2015,11,26,26-11-2015
1,005,2015,11,27,27-11-2015
1,005,2015,12,19,19-12-2015
1,005,2015,12,27,27-12-2015
1,005,2015,12,31,31-12-2015
1,006,2015,1,7,07-01-2015
1,006,2015,1,10,10-01-2015
1,006,2015,1,15,15-01-2015
1,006,2015,1,18,18-01-2015
