Date,Male,Female,Total
03-09-2010,28,20,48
04-09-2010,42,24,66
05-09-2010,32,19,51
06-09-2010,42,33,75
07-09-2010,32,32,64
08-09-2010,39,27,66
09-09-2010,38,31,69
10-09-2010,46,34,80
11-09-2010,34,20,54
12-09-2010,30,21,51
13-09-2010,46,21,67
14-09-2010,39,19,58
15-09-2010,48,21,69
16-09-2010,32,26,58
17-09-2010,39,32,71
18-09-2010,50,36,86
19-09-2010,33,24,57
20-09-2010,26,13,39
21-09-2010,50,23,73
22-09-2010,49,22,71
23-09-2010,33,12,45
24-09-2010,48,28,76
25-09-2010,48,20,68
26-09-2010,36,23,59
27-09-2010,28,26,54
28-09-2010,41,29,70
29-09-2010,46,29,75
30-09-2010,38,20,58
01-10-2010,43,26,69
02-10-2010,41,32,73
03-10-2010,36,24,60
04-10-2010,40,21,61
05-10-2010,33,20,53
06-10-2010,51,25,76
07-10-2010,47,22,69
08-10-2010,57,29,86
09-10-2010,41,25,66
10-10-2010,34,23,57
11-10-2010,43,30,73
12-10-2010,47,26,73
13-10-2010,50,32,82
14-10-2010,49,25,74
15-10-2010,39,25,64
16-10-2010,41,30,71
17-10-2010,47,25,72
18-10-2010,45,36,81
19-10-2010,40,29,69
20-10-2010,37,29,66
21-10-2010,47,20,67
22-10-2010,31,16,47
23-10-2010,40,21,61
24-10-2010,39,25,64
25-10-2010,40,27,67
26-10-2010,40,25,65
27-10-2010,42,23,65
28-10-2010,43,25,68
29-10-2010,32,20,52
30-10-2010,36,21,57
31-10-2010,27,18,45
01-11-2010,36,21,57
02-11-2010,46,11,57
03-11-2010,32,21,53
04-11-2010,37,28,65
05-11-2010,41,25,66
06-11-2010,37,28,65
07-11-2010,34,19,53
08-11-2010,39,35,74
09-11-2010,46,24,70
10-11-2010,29,29,58
11-11-2010,38,28,66
12-11-2010,38,24,62
13-11-2010,45,35,80
14-11-2010,31,14,45
15-11-2010,51,33,84
16-11-2010,44,32,76
17-11-2010,51,20,71
18-11-2010,40,11,51
19-11-2010,38,24,62
20-11-2010,32,17,49
21-11-2010,33,30,63
22-11-2010,23,15,38
23-11-2010,45,17,62
24-11-2010,42,24,66
25-11-2010,39,19,58
26-11-2010,29,21,50
27-11-2010,35,21,56
28-11-2010,39,24,63
29-11-2010,36,19,55
30-11-2010,32,23,55
01-12-2010,35,19,54
02-12-2010,36,23,59
03-12-2010,48,19,67
04-12-2010,37,10,47
05-12-2010,27,21,48
06-12-2010,40,16,56
07-12-2010,42,24,66
08-12-2010,30,15,45
09-12-2010,37,19,56
10-12-2010,32,24,56
11-12-2010,34,20,54
12-12-2010,33,22,55
13-12-2010,53,17,70
14-12-2010,42,14,56
15-12-2010,32,18,50
16-12-2010,36,24,60
17-12-2010,43,21,64
18-12-2010,36,20,56
19-12-2010,36,24,60
20-12-2010,29,20,49
21-12-2010,37,16,53
22-12-2010,40,24,64
23-12-2010,24,15,39
24-12-2010,39,26,65
25-12-2010,46,23,69
26-12-2010,46,21,67
27-12-2010,42,34,76
28-12-2010,40,18,58
29-12-2010,29,22,51
30-12-2010,44,21,65
31-12-2010,41,24,65
01-01-2011,29,29,58
02-01-2011,38,15,53
03-01-2011,45,17,62
04-01-2011,48,29,77
05-01-2011,36,17,53
06-01-2011,49,17,66
07-01-2011,38,25,63
08-01-2011,48,12,60
09-01-2011,33,31,64
10-01-2011,49,29,78
11-01-2011,50,22,72
12-01-2011,47,32,79
13-01-2011,44,29,73
14-01-2011,39,26,65
15-01-2011,41,30,71
16-01-2011,36,19,55
17-01-2011,30,17,47
18-01-2011,38,23,61
19-01-2011,30,20,50
20-01-2011,49,26,75
21-01-2011,32,25,57
22-01-2011,38,27,65
23-01-2011,36,22,58
24-01-2011,41,20,61
25-01-2011,31,26,57
26-01-2011,32,20,52
27-01-2011,26,18,44
28-01-2011,45,29,74
29-01-2011,35,21,56
30-01-2011,42,18,60
31-01-2011,34,24,58
01-02-2011,29,28,57
02-02-2011,29,24,53
03-02-2011,26,20,46
04-02-2011,29,19,48
05-02-2011,41,16,57
06-02-2011,23,18,41
07-02-2011,26,18,44
08-02-2011,21,16,37
09-02-2011,27,18,45
10-02-2011,25,19,44
11-02-2011,32,25,57
12-02-2011,29,14,43
13-02-2011,29,24,53
14-02-2011,24,9,33
15-02-2011,24,19,43
16-02-2011,28,18,46
17-02-2011,23,19,42
18-02-2011,31,25,56
19-02-2011,33,15,48
20-02-2011,46,24,70
21-02-2011,31,20,51
22-02-2011,41,19,60
23-02-2011,42,18,60
24-02-2011,22,16,38
25-02-2011,27,19,46
26-02-2011,40,16,56
27-02-2011,29,17,46
28-02-2011,26,24,50
01-03-2011,32,25,57
02-03-2011,37,20,57
03-03-2011,35,19,54
04-03-2011,21,20,41
05-03-2011,27,11,38
06-03-2011,23,21,44
07-03-2011,28,23,51
08-03-2011,39,17,56
09-03-2011,33,18,51
10-03-2011,33,9,42
11-03-2011,26,21,47
12-03-2011,21,19,40
13-03-2011,29,22,51
14-03-2011,37,17,54
15-03-2011,18,16,34
16-03-2011,36,21,57
17-03-2011,30,18,48
18-03-2011,30,27,57
19-03-2011,41,10,51
20-03-2011,28,18,46
21-03-2011,38,18,56
22-03-2011,37,24,61
23-03-2011,31,19,50
24-03-2011,22,11,33
25-03-2011,29,17,46
26-03-2011,24,10,34
27-03-2011,28,8,36
28-03-2011,28,16,44
29-03-2011,32,28,60
30-03-2011,20,14,34
31-03-2011,21,21,42
01-04-2011,27,10,37
02-04-2011,25,18,43
03-04-2011,32,14,46
04-04-2011,23,15,38
05-04-2011,32,19,51
06-04-2011,31,13,44
07-04-2011,22,15,37
